ID,PREDICTED
183,neutral
184,neutral
185,neutral
186,neutral
187,positive
188,neutral
189,negative
190,positive
191,neutral
192,positive
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,positive
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,positive
207,neutral
208,neutral
209,positive
210,neutral
211,neutral
212,positive
213,neutral
214,neutral
215,neutral
216,neutral
217,positive
218,neutral
219,neutral
220,positive
221,neutral
222,neutral
223,neutral
224,positive
225,neutral
226,neutral
227,positive
228,neutral
229,neutral
230,positive
231,neutral
232,neutral
233,positive
234,neutral
235,positive
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,negative
246,neutral
247,neutral
248,neutral
249,positive
250,neutral
251,neutral
252,neutral
253,positive
254,neutral
255,positive
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,positive
266,neutral
267,neutral
268,positive
269,neutral
270,neutral
271,positive
272,neutral
273,positive
274,neutral
275,neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,positive
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,positive
290,neutral
291,neutral
292,positive
293,neutral
294,neutral
295,neutral
296,positive
297,neutral
298,neutral
299,positive
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,positive
306,neutral
307,neutral
308,positive
309,neutral
310,neutral
311,positive
312,neutral
313,neutral
314,positive
315,neutral
316,neutral
317,positive
318,neutral
319,neutral
320,positive
321,neutral
322,neutral
323,positive
324,neutral
325,neutral
326,positive
327,neutral
328,neutral
329,positive
330,neutral
331,neutral
332,positive
333,neutral
334,neutral
335,positive
336,neutral
337,neutral
338,positive
339,neutral
340,neutral
341,positive
342,neutral
343,neutral
344,positive
345,neutral
346,neutral
347,positive
348,neutral
349,neutral
350,positive
351,neutral
352,neutral
353,positive
354,neutral
355,neutral
356,positive
357,neutral
358,neutral
359,positive
360,neutral
361,neutral
362,positive
363,neutral
364,neutral
365,positive
366,neutral
367,neutral
368,positive
369,neutral
370,neutral
371,neutral
372,neutral
373,positive
374,neutral
375,neutral
376,positive
377,neutral
378,neutral
379,positive
380,neutral
381,neutral
382,neutral
383,neutral
384,positive
385,neutral
386,neutral
387,positive
388,neutral
389,positive
390,neutral
391,neutral
392,neutral
393,positive
394,neutral
395,positive
396,neutral
397,neutral
398,neutral
399,positive
400,neutral
401,neutral
402,positive
403,neutral
404,neutral
405,positive
406,neutral
407,positive
408,neutral
409,neutral
410,neutral
411,neutral
412,positive
413,neutral
414,positive
415,neutral
416,positive
417,neutral
418,positive
419,neutral
420,neutral
421,neutral
422,neutral
423,positive
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,positive
430,neutral
431,positive
432,neutral
433,positive
434,neutral
435,neutral
436,neutral
437,positive
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,neutral
446,positive
447,neutral
448,neutral
449,neutral
450,neutral
451,positive
452,neutral
453,neutral
454,neutral
455,positive
456,neutral
457,neutral
458,positive
459,neutral
460,neutral
461,neutral
462,positive
463,neutral
464,neutral
465,positive
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,neutral
474,positive
475,neutral
476,neutral
477,neutral
478,positive
479,neutral
480,neutral
481,positive
482,neutral
483,neutral
484,positive
485,neutral
486,neutral
487,neutral
488,positive
489,neutral
490,neutral
491,neutral
492,neutral
493,neutral
494,positive
495,neutral
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,positive
504,neutral
505,neutral
506,neutral
507,neutral
508,neutral
509,neutral
510,neutral
511,neutral
512,positive
513,neutral
514,neutral
515,neutral
516,neutral
517,neutral
518,neutral
519,neutral
520,positive
521,neutral
522,neutral
523,neutral
524,neutral
525,positive
526,neutral
527,negative
528,positive
529,neutral
530,neutral
531,positive
532,neutral
533,positive
534,neutral
535,positive
536,neutral
537,neutral
538,positive
539,neutral
540,neutral
541,positive
542,neutral
543,neutral
544,positive
545,neutral
546,neutral
547,positive
548,neutral
549,neutral
550,neutral
551,neutral
552,positive
553,neutral
554,neutral
555,neutral
556,neutral
557,positive
558,neutral
559,neutral
560,neutral
561,neutral
562,positive
563,neutral
564,neutral
565,neutral
566,positive
567,neutral
568,neutral
569,neutral
570,neutral
571,positive
572,neutral
573,neutral
574,positive
575,neutral
576,neutral
577,positive
578,neutral
579,neutral
580,positive
581,neutral
582,neutral
583,neutral
584,positive
585,neutral
586,neutral
587,positive
588,neutral
589,neutral
590,positive
591,neutral
592,neutral
593,neutral
594,positive
595,neutral
596,neutral
597,neutral
598,positive
599,neutral
600,neutral
601,neutral
602,neutral
603,neutral
604,positive
605,neutral
606,neutral
607,neutral
608,neutral
609,neutral
610,positive
611,neutral
612,neutral
613,neutral
614,neutral
615,positive
616,neutral
617,neutral
618,neutral
619,neutral
620,neutral
621,positive
622,neutral
623,neutral
624,positive
625,positive
626,neutral
627,positive
628,neutral
629,neutral
630,neutral
631,neutral
632,neutral
633,positive
634,neutral
635,neutral
636,positive
637,neutral
638,neutral
639,positive
640,neutral
641,neutral
642,positive
643,neutral
644,neutral
645,positive
646,neutral
647,neutral
648,neutral
649,neutral
650,neutral
651,positive
652,neutral
653,neutral
654,positive
655,neutral
656,neutral
657,neutral
658,positive
659,neutral
660,positive
661,neutral
662,neutral
663,neutral
664,neutral
665,neutral
666,neutral
667,neutral
668,positive
669,neutral
670,neutral
671,positive
672,neutral
673,neutral
674,positive
675,neutral
676,neutral
677,neutral
678,neutral
679,positive
680,neutral
681,neutral
682,neutral
683,positive
684,negative
685,positive
686,positive
687,positive
688,neutral
689,neutral
690,neutral
691,neutral
692,negative
693,neutral
694,positive
695,positive
696,neutral
697,neutral
698,neutral
699,neutral
700,neutral
701,positive
702,positive
703,neutral
704,neutral
705,positive
706,neutral
707,neutral
708,neutral
709,neutral
710,positive
711,neutral
712,neutral
713,positive
714,neutral
715,neutral
716,positive
717,neutral
718,positive
719,neutral
720,neutral
721,neutral
722,neutral
723,neutral
724,neutral
725,positive
726,neutral
727,neutral
728,neutral
729,neutral
730,neutral
731,positive
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,neutral
740,neutral
741,neutral
742,positive
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,positive
750,neutral
751,neutral
752,positive
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,positive
759,neutral
760,neutral
761,neutral
762,neutral
763,positive
764,neutral
765,neutral
766,positive
767,neutral
768,positive
769,positive
770,neutral
771,neutral
772,positive
773,neutral
774,neutral
775,positive
776,neutral
777,neutral
778,positive
779,neutral
780,neutral
781,positive
782,neutral
783,neutral
784,positive
785,neutral
786,neutral
787,positive
788,neutral
789,neutral
790,positive
791,neutral
792,neutral
793,neutral
794,positive
795,neutral
796,neutral
797,neutral
798,positive
799,neutral
800,neutral
801,neutral
802,positive
803,neutral
804,neutral
805,positive
806,neutral
807,neutral
808,positive
809,neutral
810,neutral
811,neutral
812,neutral
813,positive
814,neutral
815,positive
816,neutral
817,neutral
818,neutral
819,positive
820,neutral
821,neutral
822,positive
823,neutral
824,neutral
825,neutral
826,neutral
827,positive
828,neutral
829,neutral
830,positive
831,neutral
832,neutral
833,positive
834,neutral
835,neutral
836,positive
837,neutral
838,neutral
839,neutral
840,positive
841,neutral
842,neutral
843,positive
844,neutral
845,neutral
846,neutral
847,neutral
848,neutral
849,positive
850,neutral
851,neutral
852,positive
853,neutral
854,neutral
855,positive
856,neutral
857,neutral
858,positive
859,neutral
860,neutral
861,positive
862,neutral
863,neutral
864,positive
865,neutral
866,neutral
867,neutral
868,positive
869,neutral
870,neutral
871,positive
872,neutral
873,neutral
874,neutral
875,neutral
876,positive
877,neutral
878,neutral
879,neutral
880,neutral
881,positive
882,neutral
883,neutral
884,positive
885,neutral
886,neutral
887,positive
888,neutral
889,neutral
890,neutral
891,positive
892,neutral
893,neutral
894,neutral
895,positive
896,neutral
897,neutral
898,positive
899,neutral
900,neutral
901,positive
902,neutral
903,neutral
904,positive
905,neutral
906,positive
907,positive
908,neutral
909,neutral
910,positive
911,neutral
912,neutral
913,positive
914,neutral
915,neutral
916,neutral
917,neutral
918,neutral
919,neutral
920,positive
921,neutral
922,neutral
923,neutral
924,positive
925,neutral
926,positive
927,neutral
928,neutral
929,neutral
930,neutral
931,positive
932,neutral
933,neutral
934,positive
935,neutral
936,neutral
937,positive
938,neutral
939,neutral
940,positive
941,neutral
942,neutral
943,positive
944,neutral
945,neutral
946,positive
947,neutral
948,neutral
949,positive
950,neutral
951,neutral
952,positive
953,neutral
954,neutral
955,positive
956,neutral
957,neutral
958,positive
959,neutral
960,positive
961,neutral
962,neutral
963,neutral
964,neutral
965,neutral
966,neutral
967,neutral
968,neutral
969,neutral
970,neutral
971,neutral
972,neutral
973,neutral
974,neutral
975,neutral
976,negative
977,neutral
978,neutral
979,neutral
980,neutral
981,positive
982,positive
983,positive
984,neutral
985,neutral
986,positive
987,neutral
988,neutral
989,positive
990,neutral
991,neutral
992,positive
993,neutral
994,neutral
995,positive
996,neutral
997,neutral
998,positive
999,neutral
1000,neutral
1001,neutral
1002,positive
1003,neutral
1004,neutral
1005,positive
1006,neutral
1007,neutral
1008,positive
1009,neutral
1010,neutral
1011,positive
1012,neutral
1013,neutral
1014,positive
1015,neutral
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,neutral
1021,neutral
1022,neutral
1023,positive
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,neutral
1029,positive
1030,neutral
1031,neutral
1032,positive
1033,neutral
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,positive
1039,neutral
1040,positive
1041,neutral
1042,neutral
1043,neutral
1044,neutral
1045,neutral
1046,positive
1047,positive
1048,neutral
1049,neutral
1050,positive
1051,neutral
1052,positive
1053,neutral
1054,neutral
1055,neutral
1056,positive
1057,neutral
1058,neutral
1059,positive
1060,neutral
1061,neutral
1062,positive
1063,neutral
1064,negative
1065,positive
1066,neutral
1067,neutral
1068,negative
1069,positive
1070,neutral
1071,positive
1072,neutral
1073,neutral
1074,neutral
1075,neutral
1076,neutral
1077,neutral
1078,positive
1079,neutral
1080,neutral
1081,neutral
1082,negative
1083,positive
1084,neutral
1085,neutral
1086,neutral
1087,neutral
1088,neutral
1089,positive
1090,neutral
1091,neutral
1092,positive
1093,neutral
1094,neutral
1095,positive
1096,neutral
1097,positive
1098,neutral
1099,neutral
1100,neutral
1101,neutral
1102,positive
1103,neutral
1104,neutral
1105,positive
1106,neutral
1107,neutral
1108,positive
1109,neutral
1110,neutral
1111,positive
1112,neutral
1113,neutral
1114,positive
1115,neutral
1116,neutral
1117,positive
1118,neutral
1119,neutral
1120,neutral
1121,positive
1122,neutral
1123,neutral
1124,neutral
1125,negative
1126,neutral
1127,neutral
1128,neutral
1129,neutral
1130,neutral
1131,positive
1132,neutral
1133,neutral
1134,positive
1135,neutral
1136,neutral
1137,positive
1138,neutral
1139,neutral
1140,positive
1141,neutral
1142,neutral
1143,positive
1144,neutral
1145,neutral
1146,positive
1147,neutral
1148,neutral
1149,positive
1150,neutral
1151,neutral
1152,positive
1153,neutral
1154,neutral
1155,positive
1156,neutral
1157,neutral
1158,positive
1159,neutral
1160,neutral
1161,neutral
1162,neutral
1163,neutral
1164,neutral
1165,neutral
1166,neutral
1167,positive
1168,neutral
1169,neutral
1170,positive
1171,neutral
1172,neutral
1173,positive
1174,neutral
1175,neutral
1176,positive
1177,neutral
1178,neutral
1179,positive
1180,neutral
1181,neutral
1182,positive
1183,neutral
1184,neutral
1185,positive
1186,neutral
1187,neutral
1188,positive
1189,neutral
1190,neutral
1191,positive
1192,neutral
1193,neutral
1194,positive
1195,neutral
1196,neutral
1197,positive
1198,neutral
1199,neutral
1200,positive
1201,neutral
1202,neutral
1203,positive
1204,neutral
1205,neutral
1206,positive
1207,neutral
1208,neutral
1209,positive
1210,neutral
1211,neutral
1212,neutral
1213,positive
1214,neutral
1215,neutral
1216,positive
1217,neutral
1218,neutral
1219,positive
1220,neutral
1221,neutral
1222,positive
1223,neutral
1224,neutral
1225,positive
1226,neutral
1227,neutral
1228,positive
1229,neutral
1230,neutral
1231,positive
1232,neutral
1233,neutral
1234,positive
1235,neutral
1236,neutral
1237,neutral
1238,positive
1239,neutral
1240,neutral
1241,neutral
1242,neutral
1243,neutral
1244,positive
1245,neutral
1246,neutral
1247,positive
1248,neutral
1249,positive
1250,positive
1251,neutral
1252,neutral
1253,positive
1254,neutral
1255,neutral
1256,positive
1257,neutral
1258,neutral
1259,positive
1260,neutral
1261,neutral
1262,neutral
1263,positive
1264,neutral
1265,neutral
1266,positive
1267,neutral
1268,positive
1269,positive
1270,neutral
1271,neutral
1272,neutral
1273,neutral
1274,positive
1275,neutral
1276,positive
1277,neutral
1278,positive
1279,neutral
1280,positive
1281,neutral
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,positive
1287,neutral
1288,neutral
1289,positive
1290,neutral
1291,negative
1292,positive
1293,neutral
1294,neutral
1295,positive
1296,neutral
1297,neutral
1298,positive
1299,neutral
1300,neutral
1301,neutral
1302,positive
1303,neutral
1304,neutral
1305,positive
1306,neutral
1307,neutral
1308,neutral
1309,neutral
1310,neutral
1311,positive
1312,neutral
1313,neutral
1314,neutral
1315,positive
1316,neutral
1317,negative
1318,positive
1319,neutral
1320,negative
1321,positive
1322,neutral
1323,negative
1324,positive
1325,neutral
1326,neutral
1327,positive
1328,neutral
1329,neutral
1330,positive
1331,neutral
1332,neutral
1333,neutral
1334,neutral
1335,positive
1336,neutral
1337,positive
1338,neutral
1339,neutral
1340,positive
1341,neutral
1342,neutral
1343,neutral
1344,positive
1345,neutral
1346,neutral
1347,positive
1348,neutral
1349,positive
1350,neutral
1351,neutral
1352,neutral
1353,positive
1354,neutral
1355,neutral
1356,positive
1357,neutral
1358,neutral
1359,neutral
1360,positive
1361,neutral
1362,neutral
1363,positive
1364,neutral
1365,neutral
1366,neutral
1367,positive
1368,neutral
1369,negative
1370,positive
1371,neutral
1372,positive
1373,neutral
1374,neutral
1375,neutral
1376,positive
1377,neutral
1378,neutral
1379,neutral
1380,neutral
1381,positive
1382,neutral
1383,neutral
1384,neutral
1385,neutral
1386,neutral
1387,neutral
1388,positive
1389,neutral
1390,neutral
1391,neutral
1392,neutral
1393,positive
1394,neutral
1395,neutral
1396,neutral
1397,neutral
1398,neutral
1399,positive
1400,neutral
1401,positive
1402,neutral
1403,neutral
1404,neutral
1405,positive
1406,positive
1407,neutral
1408,neutral
1409,neutral
1410,neutral
1411,positive
1412,neutral
1413,neutral
1414,positive
1415,neutral
1416,neutral
1417,neutral
1418,positive
1419,neutral
1420,neutral
1421,neutral
1422,neutral
1423,positive
1424,neutral
1425,neutral
1426,neutral
1427,neutral
1428,neutral
1429,positive
1430,neutral
1431,positive
1432,neutral
1433,neutral
1434,neutral
1435,neutral
1436,neutral
1437,neutral
1438,positive
1439,neutral
1440,neutral
1441,positive
1442,neutral
1443,neutral
1444,neutral
1445,positive
1446,neutral
1447,neutral
1448,positive
1449,neutral
1450,neutral
1451,positive
1452,neutral
1453,positive
1454,positive
1455,neutral
1456,neutral
1457,neutral
1458,positive
1459,neutral
1460,positive
1461,neutral
1462,neutral
1463,neutral
1464,neutral
1465,neutral
1466,neutral
1467,neutral
1468,neutral
1469,positive
1470,positive
1471,positive
1472,positive
1473,neutral
1474,neutral
1475,neutral
1476,neutral
1477,neutral
1478,neutral
1479,positive
1480,neutral
1481,neutral
1482,neutral
1483,positive
1484,positive
1485,neutral
1486,neutral
1487,positive
1488,neutral
1489,neutral
1490,positive
1491,neutral
1492,neutral
1493,positive
1494,neutral
1495,neutral
1496,positive
1497,neutral
1498,neutral
1499,positive
1500,neutral
1501,neutral
1502,positive
1503,neutral
1504,neutral
1505,positive
1506,neutral
1507,neutral
1508,neutral
1509,positive
1510,neutral
1511,neutral
1512,positive
1513,neutral
1514,neutral
1515,neutral
1516,positive
1517,neutral
1518,neutral
1519,neutral
1520,neutral
1521,positive
1522,neutral
1523,neutral
1524,neutral
1525,positive
1526,neutral
1527,neutral
1528,positive
1529,neutral
1530,neutral
1531,positive
1532,neutral
1533,neutral
1534,neutral
1535,positive
1536,neutral
1537,neutral
1538,positive
1539,neutral
1540,neutral
1541,positive
1542,neutral
1543,neutral
1544,positive
1545,neutral
1546,neutral
1547,positive
1548,neutral
1549,neutral
1550,positive
1551,neutral
1552,neutral
1553,positive
1554,neutral
1555,positive
1556,neutral
1557,positive
1558,neutral
1559,neutral
1560,neutral
1561,positive
1562,neutral
1563,neutral
1564,positive
1565,neutral
1566,neutral
1567,positive
1568,neutral
1569,positive
1570,positive
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,positive
1576,neutral
1577,positive
1578,neutral
1579,neutral
1580,neutral
1581,neutral
1582,neutral
1583,positive
1584,neutral
1585,neutral
1586,neutral
1587,neutral
1588,neutral
1589,neutral
1590,positive
1591,neutral
1592,neutral
1593,neutral
1594,neutral
1595,neutral
1596,neutral
1597,positive
1598,neutral
1599,neutral
1600,neutral
1601,neutral
1602,neutral
1603,neutral
1604,positive
1605,neutral
1606,neutral
1607,neutral
1608,neutral
1609,neutral
1610,positive
1611,neutral
1612,neutral
1613,neutral
1614,positive
1615,neutral
1616,neutral
1617,neutral
1618,positive
1619,neutral
1620,neutral
1621,neutral
1622,positive
1623,neutral
1624,neutral
1625,neutral
1626,neutral
1627,neutral
1628,neutral
1629,neutral
1630,positive
1631,neutral
1632,neutral
1633,positive
1634,neutral
1635,neutral
1636,positive
1637,neutral
1638,neutral
1639,positive
1640,neutral
1641,neutral
1642,neutral
1643,neutral
1644,positive
1645,neutral
1646,neutral
1647,neutral
1648,positive
1649,neutral
1650,neutral
1651,neutral
1652,neutral
1653,positive
1654,neutral
1655,neutral
1656,neutral
1657,positive
1658,neutral
1659,neutral
1660,neutral
1661,neutral
1662,neutral
1663,positive
1664,neutral
1665,neutral
1666,positive
1667,neutral
1668,neutral
1669,positive
1670,neutral
1671,neutral
1672,positive
1673,neutral
1674,neutral
1675,positive
1676,neutral
1677,neutral
1678,positive
1679,neutral
1680,neutral
1681,positive
1682,neutral
1683,neutral
1684,positive
1685,neutral
1686,neutral
1687,neutral
1688,positive
1689,neutral
1690,neutral
1691,neutral
1692,neutral
1693,neutral
1694,positive
1695,neutral
1696,neutral
1697,neutral
1698,positive
1699,neutral
1700,neutral
1701,positive
1702,neutral
1703,neutral
1704,positive
1705,neutral
1706,neutral
1707,neutral
1708,positive
1709,neutral
1710,neutral
1711,neutral
1712,positive
1713,neutral
1714,positive
1715,neutral
1716,neutral
1717,neutral
1718,neutral
1719,neutral
1720,neutral
1721,neutral
1722,positive
1723,neutral
1724,negative
1725,positive
1726,neutral
1727,neutral
1728,neutral
1729,neutral
1730,positive
1731,neutral
1732,neutral
1733,positive
1734,neutral
1735,neutral
1736,positive
1737,neutral
1738,neutral
1739,positive
1740,neutral
1741,neutral
1742,positive
1743,neutral
1744,neutral
1745,positive
1746,neutral
1747,neutral
1748,positive
1749,neutral
1750,neutral
1751,positive
1752,neutral
1753,neutral
1754,neutral
1755,positive
1756,neutral
1757,neutral
1758,positive
1759,neutral
1760,neutral
1761,neutral
1762,neutral
1763,positive
1764,neutral
1765,neutral
1766,neutral
1767,neutral
1768,neutral
1769,neutral
1770,neutral
1771,neutral
1772,neutral
1773,neutral
1774,neutral
1775,neutral
1776,neutral
1777,negative
1778,neutral
1779,neutral
1780,neutral
1781,neutral
1782,neutral
1783,positive
1784,neutral
1785,neutral
1786,neutral
1787,neutral
1788,neutral
1789,negative
1790,neutral
1791,neutral
1792,neutral
1793,positive
1794,neutral
1795,neutral
1796,positive
1797,neutral
1798,neutral
1799,positive
1800,neutral
1801,neutral
1802,positive
1803,neutral
1804,neutral
1805,neutral
1806,positive
1807,neutral
1808,neutral
1809,neutral
1810,positive
1811,neutral
1812,neutral
1813,neutral
1814,positive
1815,neutral
1816,positive
1817,neutral
1818,neutral
1819,neutral
1820,positive
1821,neutral
1822,negative
1823,positive
1824,neutral
1825,positive
1826,positive
1827,neutral
1828,neutral
1829,positive
1830,neutral
1831,neutral
1832,neutral
1833,positive
1834,neutral
1835,neutral
1836,neutral
1837,positive
1838,neutral
1839,neutral
1840,positive
1841,neutral
1842,neutral
1843,neutral
1844,neutral
1845,neutral
1846,neutral
1847,neutral
1848,positive
1849,neutral
1850,neutral
1851,neutral
1852,neutral
1853,neutral
1854,neutral
1855,neutral
1856,positive
1857,neutral
1858,neutral
1859,neutral
1860,neutral
1861,neutral
1862,neutral
1863,neutral
1864,neutral
1865,neutral
1866,neutral
1867,neutral
1868,positive
1869,neutral
1870,neutral
1871,positive
1872,neutral
1873,neutral
1874,positive
1875,neutral
1876,neutral
1877,positive
1878,neutral
1879,neutral
1880,positive
1881,neutral
1882,neutral
1883,positive
1884,neutral
1885,neutral
1886,positive
1887,neutral
1888,neutral
1889,neutral
1890,neutral
1891,positive
1892,neutral
1893,neutral
1894,neutral
1895,neutral
1896,neutral
1897,positive
1898,neutral
1899,neutral
1900,positive
1901,neutral
1902,neutral
1903,neutral
1904,neutral
1905,neutral
1906,neutral
1907,neutral
1908,neutral
1909,neutral
1910,positive
1911,neutral
1912,neutral
1913,positive
1914,neutral
1915,neutral
1916,positive
1917,neutral
1918,neutral
1919,positive
1920,positive
1921,neutral
1922,neutral
1923,positive
1924,neutral
1925,neutral
1926,neutral
1927,neutral
1928,neutral
1929,neutral
1930,positive
1931,neutral
1932,neutral
1933,neutral
1934,neutral
1935,neutral
1936,neutral
1937,neutral
1938,positive
1939,neutral
1940,neutral
1941,neutral
1942,positive
1943,neutral
1944,neutral
1945,positive
1946,negative
1947,neutral
1948,positive
1949,neutral
1950,neutral
1951,neutral
1952,neutral
1953,positive
1954,neutral
1955,neutral
1956,positive
1957,neutral
1958,neutral
1959,positive
1960,neutral
1961,neutral
1962,positive
1963,neutral
1964,neutral
1965,positive
1966,neutral
1967,neutral
1968,positive
1969,neutral
1970,neutral
1971,neutral
1972,neutral
1973,neutral
1974,positive
1975,neutral
1976,neutral
1977,positive
1978,neutral
1979,neutral
1980,positive
1981,neutral
1982,neutral
1983,positive
1984,neutral
1985,negative
1986,positive
1987,neutral
1988,neutral
1989,positive
1990,neutral
1991,neutral
1992,positive
1993,neutral
1994,neutral
1995,positive
1996,neutral
1997,neutral
1998,positive
1999,positive
2000,neutral
2001,neutral
2002,positive
2003,neutral
2004,neutral
2005,positive
2006,neutral
2007,neutral
2008,positive
2009,neutral
2010,neutral
2011,positive
2012,neutral
2013,neutral
2014,positive
2015,neutral
2016,neutral
2017,positive
2018,neutral
2019,neutral
2020,positive
2021,neutral
2022,neutral
2023,positive
2024,neutral
2025,neutral
2026,positive
2027,neutral
2028,neutral
2029,positive
2030,neutral
2031,neutral
2032,positive
2033,neutral
2034,neutral
2035,neutral
2036,positive
2037,neutral
2038,neutral
2039,neutral
2040,positive
2041,neutral
2042,neutral
2043,positive
2044,neutral
2045,neutral
2046,positive
2047,neutral
2048,positive
2049,neutral
2050,neutral
2051,neutral
2052,neutral
2053,positive
2054,neutral
2055,neutral
2056,positive
2057,neutral
2058,neutral
2059,positive
2060,neutral
2061,neutral
2062,positive
2063,neutral
2064,neutral
2065,positive
2066,neutral
2067,neutral
2068,neutral
2069,neutral
2070,neutral
2071,positive
2072,neutral
2073,neutral
2074,neutral
2075,positive
2076,neutral
2077,neutral
2078,positive
2079,neutral
2080,neutral
2081,positive
2082,neutral
2083,neutral
2084,neutral
2085,neutral
2086,neutral
2087,neutral
2088,positive
2089,neutral
2090,positive
2091,neutral
2092,neutral
2093,neutral
2094,neutral
2095,positive
2096,neutral
2097,neutral
2098,positive
2099,neutral
2100,positive
2101,neutral
2102,neutral
2103,neutral
2104,neutral
2105,positive
2106,neutral
2107,neutral
2108,neutral
2109,positive
2110,neutral
2111,positive
2112,positive
2113,neutral
2114,neutral
2115,neutral
2116,neutral
2117,positive
2118,neutral
2119,neutral
2120,positive
2121,neutral
2122,neutral
2123,neutral
2124,negative
2125,neutral
2126,neutral
2127,neutral
2128,negative
2129,positive
2130,neutral
2131,neutral
2132,neutral
2133,positive
2134,neutral
2135,neutral
2136,positive
2137,neutral
2138,neutral
2139,positive
2140,neutral
2141,neutral
2142,neutral
2143,neutral
2144,neutral
2145,positive
2146,neutral
2147,neutral
2148,neutral
2149,neutral
2150,positive
2151,neutral
2152,neutral
2153,neutral
2154,negative
2155,positive
2156,neutral
2157,neutral
2158,neutral
2159,positive
2160,neutral
2161,neutral
2162,positive
2163,neutral
2164,neutral
2165,neutral
2166,positive
2167,neutral
2168,neutral
2169,neutral
2170,neutral
2171,neutral
2172,positive
2173,neutral
2174,neutral
2175,neutral
2176,positive
2177,neutral
2178,neutral
2179,neutral
2180,neutral
2181,neutral
2182,neutral
2183,neutral
2184,neutral
2185,neutral
2186,negative
2187,positive
2188,neutral
2189,neutral
2190,neutral
2191,positive
2192,neutral
2193,neutral
2194,neutral
2195,negative
2196,positive
2197,neutral
2198,neutral
2199,neutral
2200,neutral
2201,positive
2202,neutral
2203,neutral
2204,neutral
2205,positive
2206,neutral
2207,neutral
2208,neutral
2209,neutral
2210,neutral
2211,positive
2212,neutral
2213,neutral
2214,positive
2215,neutral
2216,neutral
2217,neutral
2218,neutral
2219,neutral
2220,neutral
2221,neutral
2222,positive
2223,neutral
2224,neutral
2225,neutral
2226,positive
2227,neutral
2228,neutral
